#{"t_start": 1753208471.752023, "env_id": "None"}
r,l,t
1498.665449,1024,2304.398868
1516.487719,1024,2310.168213
1473.836897,1024,2314.740079
1459.057552,1024,2319.227891
1564.025621,1024,2324.79775
763.246174,553,2328.154806
1505.270761,1024,2332.977582
1521.606027,1024,2338.971771
1482.618223,1024,2343.967758
1423.009627,1024,2349.208611
1547.67037,1024,2354.975168
1499.35594,1024,2359.713602
7.389862,9,2359.735914
1551.643017,1024,2365.363736
1507.268575,1024,2370.344059
1417.880846,1024,2375.066812
4.548617,11,2375.094794
1438.34547,1024,2381.050543
1503.714672,1024,2385.739733
1483.897821,1024,2390.271151
1522.382868,1024,2396.145768
1505.931466,1024,2400.8315
1537.208828,1024,2405.874245
1432.455371,1024,2411.370826
6.365065,9,2411.393322
1456.916175,1024,2416.004428
1519.601475,1024,2421.377582
7.266135,9,2421.407488
1481.806681,1024,2426.37583
1536.309498,1024,2431.037844
1527.738086,1024,2436.88016
1557.676203,1024,2441.443507
1538.512819,1024,2446.049689
1438.781936,1024,2451.788831
10.846824,9,2451.80818
1468.098607,1024,2456.507052
1417.645949,1024,2461.468956
2749.17654,1902,2574.352962
1537.275118,1024,2579.593578
1562.66255,1024,2584.9316
1442.165144,1024,2589.565281
1479.592814,1024,2595.571975
1404.588053,1024,2600.26867
1484.03698,1024,2605.045144
1383.990396,1024,2611.01769
1412.32238,1024,2615.584399
1523.94512,1024,2620.515642
1548.229018,1024,2626.119485
1342.411647,1024,2630.84104
1462.567428,1024,2636.222978
3.629774,9,2636.252576
1498.163748,1024,2641.339277
1511.32545,1024,2645.968276
6.257821,9,2645.988033
7.477983,9,2646.011325
1397.559414,1024,2651.931012
1501.021864,1024,2656.603472
1503.314857,1024,2661.324286
1394.600793,1024,2667.185228
1444.008784,1024,2671.984347
8.047918,10,2672.010016
1476.211769,1024,2677.222137
1443.364113,1024,2682.592356
1436.935387,1024,2687.160347
1410.069488,1024,2692.706767
1349.127392,1024,2697.63817
1423.379367,1024,2702.265701
1555.372947,1024,2708.20358
1442.943911,1024,2713.098299
1509.15904,1024,2718.061897
1432.383907,1024,2723.973274
3.601566,9,2724.002071
1424.588935,1024,2728.64905
9.263944,9,2728.674658
1461.054036,1024,2734.10912
1384.978492,1024,2739.297384
1515.61144,1024,2744.0823
1502.638691,1024,2749.926144
1410.107126,1024,2754.532937
1416.266616,1024,2759.097209
1345.486325,1024,2764.927514
1518.290188,1024,2769.573096
1434.405637,1024,2774.672537
1453.808431,1024,2780.336895
1459.952084,1024,2784.975847
1407.79234,1024,2790.324133
1468.934629,1024,2795.43998
1494.146425,1024,2800.208968
1486.190481,1024,2806.376302
1497.265555,1024,2811.117852
1487.616372,1024,2815.881729
1498.574814,1024,2821.752725
1526.916321,1024,2826.595583
1530.931218,1024,2832.107408
1483.194942,1024,2837.406155
1367.328314,1024,2842.194169
7.002145,9,2842.21507
6.373219,9,2842.236138
1462.340551,1024,2848.064025
1437.594415,1024,2852.695481
1400.821043,1024,2857.359015
1512.867271,1024,2863.254903
1542.270532,1024,2867.959164
1451.839329,1024,2872.884869
1518.621584,1024,2878.368074
6.404021,9,2878.389901
7.69003,11,2878.415084
3.918551,9,2878.436836
1556.809641,1024,2883.141801
1530.902444,1024,2888.755221
7.491168,9,2888.786335
1494.35164,1024,2893.949297
1516.733946,1024,2898.585239
9.902979,9,2898.606525
1494.903753,1024,2904.59988
1465.209354,1024,2909.854568
1539.256525,1024,2914.722033
7.290704,10,2914.755213
1575.469222,1024,2920.301614
1542.943861,1024,2925.041724
4.831088,10,2925.065862
1486.118103,1024,2930.483023
1516.704792,1024,2935.625448
6.94038,9,2935.648938
1477.864768,1024,2940.187225
1540.73156,1024,2946.160068
1526.289323,1024,2950.922615
1495.643838,1024,2955.601966
1508.365187,1024,2961.484879
1522.758967,1024,2966.061067
1536.753253,1024,2970.983497
1465.814042,1024,2976.510548
1481.110296,1024,2981.037393
1506.226516,1024,2986.391879
1353.606322,1024,2991.444492
1443.864979,1024,2995.919254
1497.237413,1024,3001.673417
1407.84317,1024,3006.269205
1427.633902,1024,3010.894945
1509.528427,1024,3016.661504
1421.579951,1024,3021.308281
8.047918,10,3021.344467
1463.27287,1024,3025.943307
3.889188,9,3025.967564
1442.403028,1024,3031.822082
1410.813411,1024,3036.475031
1391.536497,1024,3041.487825
1468.482832,1024,3046.747246
1481.054367,1024,3051.378086
1420.475164,1024,3056.811066
7.491168,9,3056.840294
1508.50885,1024,3061.799127
1466.763251,1024,3066.364515
1495.89143,1024,3072.167813
1346.722804,1024,3076.769654
1435.455875,1024,3081.308994
1520.169249,1024,3087.120968
1532.672508,1024,3091.650634
1482.844792,1024,3096.565811
6.873574,9,3096.598991
1494.806837,1024,3102.431889
1447.831655,1024,3107.131845
8.05744,10,3107.157035
1465.85358,1024,3112.569194
10.846824,9,3112.599385
1493.506861,1024,3117.607684
1481.482703,1024,3122.230176
1521.118499,1024,3128.202785
5.408698,9,3128.224391
1469.162155,1024,3133.097561
1508.616992,1024,3137.822251
1501.563341,1024,3143.631849
1487.135542,1024,3148.163812
1515.992403,1024,3153.049126
1445.817587,1024,3158.450565
1524.307765,1024,3163.073467
1491.184429,1024,3168.390874
6.50121,8,3168.415996
1500.845194,1024,3173.454102
3.886028,12,3173.487484
1494.581294,1024,3178.004071
1384.827406,1024,3183.694045
1478.841671,1024,3188.426957
3.629774,9,3188.44925
1455.930495,1024,3193.088088
1482.796126,1024,3198.934703
1422.379015,1024,3203.57838
4.637581,9,3203.601198
1460.204727,1024,3208.380763
10.238894,9,3208.415253
1519.20885,1024,3214.113253
1424.059865,1024,3218.761031
1436.026288,1024,3223.824412
1431.968437,1024,3229.068022
10.846824,9,3229.101069
1333.782741,1024,3233.898432
1400.712432,1024,3239.399744
10.846824,9,3239.435427
1524.220527,1024,3244.374284
1600.095577,1024,3249.189033
1434.246578,1024,3255.065107
3.415669,9,3255.086361
1536.986475,1024,3259.711025
1508.921881,1024,3264.805184
7.510823,9,3264.839922
